Department,Agency,Sub Agency,Site Name (if applicable),Building Name,Building Type,Building Address,Suburb,Postcode,Owned or Leased,Building Unique ID,Frequency of use,Public Access?,Date of Inspection,Estimated Year Built,Est. Building Size (m2),Number of Levels,Construction Type,Roof Type,Internal / External,Level,Room or Area,Location in Room,Specific Item/ACM Name,Friability of material,ACM Product Group,ACM Product Type,NATA Endorsed Sample number (if available),Sample Result,Identifying Hygiene or Consulting Company,Condition,Disturbance Potential,Quantity,Labelled,Label Details,Hygienist Recommendations,Additional Comments,PSB Supplied ACM ID,Assumed Removed?,Date of Removal,Quantity Removed,Asbestos Removal Notification No,EPA Waste Transport Certificate No
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,External,Ground,Boiler Room,Switchboard,Fuse cartridge,Non-friable,Insulation Products,Electrical Components,Not Sampled,Assumed Positive,Prensa Pty Ltd,Good,Low,1,YES,Labelled,,,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,External,Ground,Boiler Room,Boiler,Pipework,Non-friable,"Gasket, friction products and adhesives",Gasket(s),34511-039-012,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Black.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,External,Ground,Boiler Room,Boiler,Pipework,Non-friable,"Gasket, friction products and adhesives",Gasket(s),34511-039-013,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Orange.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,External,Ground,Boiler Room,Walls,Expansion joint,Non-friable,"Gasket, friction products and adhesives",Mastic,34511-039-014,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,External,Ground,East Roof Fan Room,Walls,Wall(s),Non-friable,cement products,Flat Sheeting,34511-039-016,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,External,Ground,Roof,East Ductwork,Flange joints,Non-friable,"Gasket, friction products and adhesives",Mastic,34511-039-015,Positive,Prensa Pty Ltd,Good,Low,20,YES,Labelled,,Grey.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,External,Ground,East Roof Fan Room,Ceiling,Ceiling,Non-friable,Cement products,Flat Sheeting,As Per 34511-039-016,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,External,Ground,Exterior,Brown Walls,Expansion joint,Non-friable,"Gasket, friction products and adhesives",Mastic,As Per 34511-039-014,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Ground,Property Storage,Floor,Floor covering,Non-friable,Vinyl products,Vinyl sheet ,34511-039-017,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Grey speckled.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Ground,Lift Foyer,Lift,Internal lining,Non-friable,Other,Unknown,Not Sampled,Assumed Positive,Prensa Pty Ltd,Unknown,Unknown,,NO,,,No access.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Ground,Main Foyer,Room Adjacent Disabled Toilet,Unknown,Non-friable,Other,Unknown,Not Sampled,Assumed Positive,Prensa Pty Ltd,Unknown,Unknown,,NO,,,No access.,,,,,,
